Feature,Check Meter Config,Dataset,Accuracy
Gamma Deviance,C1,1,0.9837662337662337
Gamma Deviance,C1,2,0.913961038961039
Gamma Deviance,C1,3,0.8733766233766234
Gamma Deviance,C1,4,0.8863636363636364
Gamma Deviance,C1,5,0.8035714285714286
Gamma Deviance,C2,1,0.9659090909090909
Gamma Deviance,C2,2,0.948051948051948
Gamma Deviance,C2,3,0.935064935064935
Gamma Deviance,C2,4,0.935064935064935
Gamma Deviance,C2,5,0.8928571428571429
Gamma Deviance,C3,1,0.9594155844155844
Gamma Deviance,C3,2,0.961038961038961
Gamma Deviance,C3,3,0.9204545454545454
Gamma Deviance,C3,4,0.9642857142857143
Gamma Deviance,C3,5,0.9123376623376623
Gamma Deviance,C4,1,0.9675324675324676
Gamma Deviance,C4,2,0.9383116883116883
Gamma Deviance,C4,3,0.9577922077922078
Gamma Deviance,C4,4,0.9545454545454546
Gamma Deviance,C4,5,0.9172077922077922
Gamma Deviance,C5,1,0.961038961038961
Gamma Deviance,C5,2,0.9301948051948052
Gamma Deviance,C5,3,0.9545454545454546
Gamma Deviance,C5,4,0.9366883116883117
Gamma Deviance,C5,5,0.9431818181818182
Gamma Deviance,C6,1,0.8587662337662337
Gamma Deviance,C6,2,0.887987012987013
Gamma Deviance,C6,3,0.9155844155844156
Gamma Deviance,C6,4,0.8863636363636364
Gamma Deviance,C6,5,0.9107142857142857
Log Cosh Loss,C1,1,0.9983766233766234
Log Cosh Loss,C1,2,0.9951298701298701
Log Cosh Loss,C1,3,1.0
Log Cosh Loss,C1,4,1.0
Log Cosh Loss,C1,5,1.0
Log Cosh Loss,C2,1,0.9772727272727273
Log Cosh Loss,C2,2,0.9853896103896104
Log Cosh Loss,C2,3,0.9983766233766234
Log Cosh Loss,C2,4,0.9935064935064936
Log Cosh Loss,C2,5,0.9837662337662337
Log Cosh Loss,C3,1,0.9805194805194806
Log Cosh Loss,C3,2,0.9837662337662337
Log Cosh Loss,C3,3,0.9967532467532467
Log Cosh Loss,C3,4,0.987012987012987
Log Cosh Loss,C3,5,0.9951298701298701
Log Cosh Loss,C4,1,0.9561688311688312
Log Cosh Loss,C4,2,0.9659090909090909
Log Cosh Loss,C4,3,0.9837662337662337
Log Cosh Loss,C4,4,0.9756493506493507
Log Cosh Loss,C4,5,0.9821428571428571
Log Cosh Loss,C5,1,0.8896103896103896
Log Cosh Loss,C5,2,0.8944805194805194
Log Cosh Loss,C5,3,0.9301948051948052
Log Cosh Loss,C5,4,0.8912337662337663
Log Cosh Loss,C5,5,0.926948051948052
Log Cosh Loss,C6,1,0.7873376623376623
Log Cosh Loss,C6,2,0.788961038961039
Log Cosh Loss,C6,3,0.810064935064935
Log Cosh Loss,C6,4,0.7873376623376623
Log Cosh Loss,C6,5,0.8409090909090909
Percent Loss Error,C1,1,0.987012987012987
Percent Loss Error,C1,2,0.913961038961039
Percent Loss Error,C1,3,0.8474025974025974
Percent Loss Error,C1,4,0.8863636363636364
Percent Loss Error,C1,5,0.8344155844155844
Percent Loss Error,C2,1,0.9659090909090909
Percent Loss Error,C2,2,0.948051948051948
Percent Loss Error,C2,3,0.9237012987012987
Percent Loss Error,C2,4,0.9464285714285714
Percent Loss Error,C2,5,0.8944805194805194
Percent Loss Error,C3,1,0.961038961038961
Percent Loss Error,C3,2,0.961038961038961
Percent Loss Error,C3,3,0.9318181818181818
Percent Loss Error,C3,4,0.9594155844155844
Percent Loss Error,C3,5,0.9155844155844156
Percent Loss Error,C4,1,0.961038961038961
Percent Loss Error,C4,2,0.9431818181818182
Percent Loss Error,C4,3,0.9512987012987013
Percent Loss Error,C4,4,0.9561688311688312
Percent Loss Error,C4,5,0.9301948051948052
Percent Loss Error,C5,1,0.9594155844155844
Percent Loss Error,C5,2,0.9253246753246753
Percent Loss Error,C5,3,0.9642857142857143
Percent Loss Error,C5,4,0.9366883116883117
Percent Loss Error,C5,5,0.9415584415584416
Percent Loss Error,C6,1,0.8636363636363636
Percent Loss Error,C6,2,0.8782467532467533
Percent Loss Error,C6,3,0.913961038961039
Percent Loss Error,C6,4,0.8896103896103896
Percent Loss Error,C6,5,0.9188311688311688
Poisson Deviance,C1,1,0.9983766233766234
Poisson Deviance,C1,2,0.9902597402597403
Poisson Deviance,C1,3,0.9821428571428571
Poisson Deviance,C1,4,0.9918831168831169
Poisson Deviance,C1,5,0.9772727272727273
Poisson Deviance,C2,1,0.9886363636363636
Poisson Deviance,C2,2,0.9902597402597403
Poisson Deviance,C2,3,0.9967532467532467
Poisson Deviance,C2,4,0.9935064935064936
Poisson Deviance,C2,5,0.9821428571428571
Poisson Deviance,C3,1,0.9772727272727273
Poisson Deviance,C3,2,0.987012987012987
Poisson Deviance,C3,3,0.9983766233766234
Poisson Deviance,C3,4,0.9918831168831169
Poisson Deviance,C3,5,0.9902597402597403
Poisson Deviance,C4,1,0.961038961038961
Poisson Deviance,C4,2,0.9577922077922078
Poisson Deviance,C4,3,0.9853896103896104
Poisson Deviance,C4,4,0.974025974025974
Poisson Deviance,C4,5,0.9805194805194806
Poisson Deviance,C5,1,0.887987012987013
Poisson Deviance,C5,2,0.8944805194805194
Poisson Deviance,C5,3,0.9301948051948052
Poisson Deviance,C5,4,0.9042207792207793
Poisson Deviance,C5,5,0.9204545454545454
Poisson Deviance,C6,1,0.7873376623376623
Poisson Deviance,C6,2,0.7840909090909091
Poisson Deviance,C6,3,0.810064935064935
Poisson Deviance,C6,4,0.8003246753246753
Poisson Deviance,C6,5,0.8441558441558441
